id,name,city,state,category
1,Crab Island Waterfront Restricted Area,Crab Island,GA,Infrastructure & Transportation
2,Froedtert & The Medical College of Center Wisconsin for Advanced Care,Wauwatosa,WI,Healthcare
3,Ellsworth Adhesives West Region Distribution Center,Reno,NV,Industrial & Manufacturing
4,Delta Passenger Boarding Bridge Expansion,Seatac,WA,Infrastructure & Transportation
5,Esperanza Health Centers Brighton Park Clinic,Chicago,IL,Healthcare
6,Pursuit Park,Mesa,AZ,Commercial & Office
7,Dunwoody College Exterior Improvements,Minneapolis,MN,Higher Education
8,Budd Inlet Treatment Plant Primary Sedimentation Basins,Olympia,WA,Infrastructure & Transportation
9,Center Washburn for Children,Minneapolis,MN,Civic & Cultural
10,Northwestern Mutual Van Buren Office Building,Milwaukee,WI,Commercial & Office
11,Astera Health/CentraCare - Cancer Coborn Center,Wadena,MN,Healthcare
12,Pinnacle Fertility Clinic,Chicago,IL,Healthcare
13,Kaiser Permanente Everett Specialty Center,Everett,WA,Healthcare
14,Dallas Autonomous Vehicle Electric Charging Hub,Dallas,TX,Infrastructure & Transportation
15,Scatter Wash Energy Storage,Phoenix,AZ,Energy & Utilities
16,University of Minnesota Volleyball Performance Center Renovation,Minneapolis,MN,Higher Education
17,Woodward Drake Renovation,Fort Collins,CO,Industrial & Manufacturing
18,Chatfield Storage Reallocation,Littleton,CO,Infrastructure & Transportation
19,3083 Walnut Street,Denver,CO,Commercial & Office
20,Key Bank Pavilion,Bellevue,WA,Commercial & Office
21,Tierra Bonita Solar Project,Girvin,TX,Energy & Utilities
22,Oberlin College Sustainable Infrastructure Program,Oberlin,OH,Higher Education
23,Boswell Springs Wind Project,Albany County,WY,Energy & Utilities
24,Neon Collective Kitchen,Minneapolis,MN,Retail
25,Canyon Country Energy Storage Facility,Santa Clarita,CA,Energy & Utilities
26,Kohler Vikrell Manufacturing Facility,Casa Grande,AZ,Industrial & Manufacturing
27,Revolution Energy Storage,Crane,TX,Energy & Utilities
28,Hyatt Regency Coralville Hotel & Conference Center Renovation,Coralville,IA,Hospitality & Convention
29,The Basilica of St. Mary Rectory Renovation,Minneapolis,MN,Civic & Cultural
30,Panhandle Substations and Transmission Line Project,Panhandle,TX,Energy & Utilities
31,Newberg Wastewater Treatment Plant Expansion,Newberg,OR,Infrastructure & Transportation
32,Alamo 6 Solar,Mccamey,TX,Energy & Utilities
33,Mortenson Oregon Office Remodel,Portland,OR,Commercial & Office
34,USCG Station Manasquan Inlet Multi Mission Building,Manasquan,NJ,Government & Military
35,Atlantic City USCG Station Boat Maintenance Facility,Atlantic City,NJ,Government & Military
36,Tualatin Interceptor & Siphon Improvement,Portland,OR,Infrastructure & Transportation
37,Clear Creek Crossing,Wheat Ridge,CO,Commercial & Office
38,Arlington Il Solar,Early County,GA,Energy & Utilities
39,Wilkinson Solar,Pinetown,NC,Energy & Utilities
40,citizenM Hotel Seattle,Downtown Seattle,WA,Hospitality & Convention
41,Ridgegate Parkway 2 Phase,Lone Tree,CO,Infrastructure & Transportation
42,Allina Hastings Medical Office Building,Hastings,MN,Healthcare
43,Residence Inn by Marriott,Downtown Seattle,WA,Hospitality & Convention
44,Colorado State University Stadium,Fort Collins,CO,Sports & Recreation
45,The Blake School Hopkins Campus,Hopkins,MN,K-12 Education
46,Hyatt Place Hyatt House Tempe Downtown,Tempe,AZ,Hospitality & Convention
47,King Plains,Enid,OK,Energy & Utilities
48,Storyline Apartments,Portland,OR,Residential
49,Jack Links,Minneapolis,MN,Industrial & Manufacturing
50,Bipole HVDC Converter Stations Ay,Winnipeg,MB,Energy & Utilities
51,Northern Star Council Leadership Center,Fort Snelling,MN,Civic & Cultural
52,Industrious Tenant Improvement Scottsdale,Scottsdale,AZ,Commercial & Office
53,Hampton Inn & Suites Phoenix,Phoenix,AZ,Hospitality & Convention
54,Harborview Medical Facility Center and Infrastructure Improvements,Seattle,WA,Healthcare
55,Richland Parish Data Center,Holly Ridge,LA,Data Centers
56,BPA Ross Complex Redevelopment,Vancouver,WA,null
57,Continental Coliseum,Oklahoma City,OK,Sports & Recreation
